1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Jul	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
18	23	17	12	16	13	12	100	80	53	1024	1023	1022	10	8	4	14	10	-	0.00	Rain
19	26	19	12	14	12	11	94	66	42	1023	1022	1020	10	10	10	21	10	-	0.00	 
20	26	19	12	13	11	8	88	58	32	1021	1019	1017	10	10	10	18	11	-	0.00	 
21	27	19	11	14	11	9	94	64	39	1017	1015	1013	10	10	10	14	6	-	0.00	 
22	26	19	12	15	13	12	100	74	42	1013	1012	1011	10	10	10	21	8	-	0.00	 
23	24	17	11	15	13	10	100	79	57	1014	1013	1012	7	6	5	11	5	-	0.00	 
24	27	20	13	17	14	12	100	82	42	1013	1012	1010	10	10	10	29	10	-	0.00	Rain
25	20	17	13	15	13	12	100	91	64	1016	1014	1012	10	10	10	18	13	-	0.00	Rain
26	22	16	11	14	12	11	100	84	53	1017	1016	1015	10	10	10	14	11	-	0.00	Rain
27	18	16	13	15	13	12	100	93	77	1018	1017	1016	10	8	1	14	8	-	0.00	Fog , Rain
28	19	16	12	16	14	11	100	95	78	1016	1012	1010	10	5	0	21	8	-	0.00	Fog , Rain
29	20	16	11	12	10	8	94	75	46	1016	1015	1014	10	10	10	14	13	-	0.00	 
30	20	16	11	12	9	7	94	67	46	1020	1017	1016	10	10	10	21	13	-	0.00	Rain
31	17	13	10	11	9	8	94	79	59	1022	1021	1020	10	10	10	18	11	-	0.00	Rain
1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Sep	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	17	13	11	11	9	8	100	82	63	1024	1023	1022	10	10	10	21	13	40	0.00	Rain
2	15	12	9	8	7	6	87	73	59	1024	1023	1023	10	10	10	29	18	-	0.00	Rain
3	21	16	10	13	11	8	94	78	56	1022	1021	1020	10	10	10	29	14	-	0.00	 
4	21	16	10	14	11	9	94	81	60	1020	1018	1016	10	10	10	26	11	43	0.00	 
5	15	11	8	11	8	4	94	76	48	1016	1015	1014	10	10	10	32	16	50	0.00	Rain , Thunderstorm
6	13	9	5	8	6	4	93	84	62	1015	1014	1012	10	9	4	32	19	61	0.00	Rain , Thunderstorm
7	13	9	5	10	6	4	100	81	62	1019	1016	1013	10	9	4	35	19	58	0.00	Rain
8	13	10	7	8	6	4	93	80	67	1019	1019	1018	10	10	9	26	16	43	0.00	Rain
9	13	10	7	8	7	5	93	81	62	1019	1018	1017	10	10	10	14	11	-	0.00	Rain
10	14	9	5	8	7	4	93	81	67	1017	1015	1013	10	10	10	18	11	-	0.00	Rain
11	14	11	8	9	7	5	94	78	58	1014	1012	1011	10	10	10	26	16	40	0.00	Rain
12	13	10	7	9	7	6	93	81	67	1011	1004	998	10	10	10	26	13	-	0.00	Rain
13	10	8	6	9	6	4	100	86	71	1004	1000	996	10	10	6	26	16	-	0.00	Rain
14	12	8	5	8	6	5	100	85	62	1018	1011	1005	10	10	7	29	14	50	0.00	Rain
15	13	9	5	7	6	5	100	83	58	1021	1018	1018	10	10	10	32	14	50	0.00	Rain
16	13	8	4	7	5	3	100	77	58	1022	1021	1020	10	10	10	26	14	43	0.00	 
17	9	7	6	7	6	4	93	84	71	1019	1018	1018	10	10	10	14	11	-	0.00	Rain
18	11	8	6	7	6	5	100	83	67	1019	1018	1017	10	10	6	26	14	40	0.00	Rain
19	15	10	6	6	6	5	93	76	51	1017	1015	1013	10	9	4	32	24	-	0.00	 
20	14	9	5	7	6	4	93	81	59	1013	1010	1008	10	9	3	29	18	-	0.00	Rain
21	9	8	7	8	7	7	100	95	87	1009	1007	1007	7	4	1	21	18	-	0.00	Fog , Rain
22	11	9	8	10	8	7	100	96	87	1009	1008	1007	8	5	1	26	16	-	0.00	Rain
23	11	9	7	9	8	7	100	94	87	1008	1006	1005	10	7	2	21	14	-	0.00	Rain
24	8	7	7	7	7	6	100	97	87	1010	1007	1005	7	4	2	21	14	-	0.00	Rain
25	10	8	7	8	7	6	100	96	76	1013	1011	1009	10	6	3	11	10	-	0.00	Rain
26	10	8	5	8	7	5	100	93	87	1019	1016	1013	10	6	1	11	8	-	0.00	Fog , Rain
27	16	9	3	12	7	3	100	91	59	1018	1016	1013	10	4	0	14	10	-	0.00	Fog , Rain
28	16	12	9	10	9	8	100	85	63	1026	1020	1014	10	10	10	26	13	-	0.00	Rain
29	13	9	6	9	8	6	100	87	72	1026	1024	1019	10	8	2	18	13	-	0.00	Fog , Rain
30	21	16	11	12	9	8	82	65	52	1019	1016	1013	10	10	10	29	19	43	0.00	Rain
1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Oct	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	21	14	9	13	10	8	94	78	56	1012	1006	1003	8	8	8	18	11	-	0.00	 
2	15	12	8	12	7	5	94	81	71	1020	1013	1005	10	10	10	35	21	47	0.00	Rain
3	11	7	4	7	5	3	100	85	62	1026	1024	1020	10	10	10	14	10	-	0.00	 
4	14	8	3	6	4	2	93	72	51	1025	1020	1016	-	-	-	14	11	-	0.00	 
5	12	10	9	8	7	6	93	82	71	1016	1014	1013	10	8	4	11	8	-	0.00	Rain
6	10	9	8	8	8	7	100	92	87	1023	1020	1016	10	8	3	18	11	-	0.00	Rain
7	12	10	9	11	9	8	100	93	88	1023	1022	1020	7	5	2	18	8	-	0.00	 
8	15	12	10	12	11	9	100	92	82	1020	1019	1017	6	4	1	18	11	-	0.00	Fog
9	15	12	9	12	10	8	100	92	77	1019	1017	1017	7	4	0	11	6	-	0.00	Fog
10	13	11	9	10	9	8	100	90	77	1025	1021	1019	10	6	3	14	8	-	0.00	Fog
11	13	10	7	8	8	6	100	88	72	1025	1024	1022	10	9	5	14	8	-	0.00	Rain
12	9	6	2	7	5	2	100	93	82	1021	1019	1018	10	4	0	14	8	-	0.00	Fog
13	7	6	4	7	6	4	100	100	100	1018	1017	1016	1	0	0	6	2	-	0.00	Fog
14	15	10	6	8	7	6	100	86	59	1016	1014	1012	10	6	1	11	8	-	0.00	 
15	17	10	3	11	7	3	100	92	68	1012	1011	1009	8	3	0	11	3	-	0.00	Fog , Rain
16	19	14	9	13	11	9	100	85	60	1009	1005	1003	10	6	0	18	11	-	0.00	Rain
17	12	11	9	11	10	9	100	96	94	1009	1007	1005	6	4	1	11	8	-	0.00	Rain
18	10	9	8	9	8	7	100	93	87	1015	1013	1010	10	9	4	18	10	-	0.00	Rain
19	10	7	4	8	6	3	100	88	76	1019	1015	1013	10	9	4	21	13	-	0.00	Rain
20	11	8	5	8	7	4	100	87	67	1022	1019	1015	10	10	6	26	16	-	0.00	Rain
21	10	8	7	9	8	6	100	96	93	1015	1014	1013	10	4	1	14	6	-	0.00	Fog , Rain
22	11	9	8	9	6	3	94	79	66	1025	1021	1016	10	10	10	29	21	47	0.00	Rain
23	10	6	2	6	4	1	93	82	66	1029	1027	1025	10	10	10	21	11	-	0.00	 
24	8	4	1	5	2	0	100	77	57	1030	1029	1028	10	8	0	18	8	-	0.00	Fog
25	9	6	2	2	1	-1	87	73	58	1028	1027	1025	10	10	10	18	11	-	0.00	 
26	9	4	-1	4	2	-1	100	89	62	1027	1027	1026	9	5	0	14	8	-	0.00	Fog
27	12	8	5	8	6	4	100	89	72	1027	1023	1018	10	6	1	14	10	-	0.00	Fog , Rain
28	14	11	9	9	8	8	94	83	67	1015	1011	1008	10	10	6	40	24	58	0.00	Rain
29	16	11	6	8	6	3	87	68	45	1009	1003	1000	10	10	10	50	24	87	0.00	Rain
30	9	7	6	3	2	1	81	73	62	1024	1018	1010	10	10	10	40	27	58	0.00	Rain
31	9	7	4	2	1	1	81	71	58	1024	1022	1018	10	10	10	29	19	-	0.00	Rain
1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Nov	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	11	8	5	9	6	0	94	83	70	1024	1017	1014	10	10	10	35	21	47	0.00	Rain
2	13	9	6	8	6	3	87	74	66	1025	1024	1023	10	10	10	40	23	61	0.00	 
3	13	11	9	9	8	7	87	81	72	1023	1021	1019	10	10	10	32	24	47	0.00	Rain
4	16	12	8	9	7	4	93	79	63	1020	1016	1010	10	10	10	29	14	-	0.00	 
5	15	9	3	6	4	1	87	70	54	1017	1010	1007	10	9	8	32	14	50	0.00	 
6	11	7	4	6	2	1	87	68	50	1018	1014	1010	10	10	10	40	24	58	0.00	 
7	12	10	7	10	7	4	100	84	67	1012	1009	1006	10	10	4	32	26	55	0.00	Rain
8	9	6	2	5	3	1	93	84	66	1027	1020	1012	10	10	10	29	18	47	0.00	Rain
9	9	4	1	4	3	0	100	84	66	1028	1026	1025	10	10	10	29	18	43	0.00	Rain
10	9	6	3	4	2	1	93	81	62	1025	1019	1012	10	10	10	21	14	-	0.00	 
11	10	6	1	7	4	0	100	91	76	1012	1007	1003	9	5	1	18	8	-	0.00	Fog
12	11	7	3	9	6	3	100	97	82	1004	1003	1001	6	2	0	11	6	-	0.00	Fog
13	12	8	4	8	6	3	100	93	77	1012	1005	1002	10	7	0	21	10	-	0.00	Fog , Rain
14	4	2	1	4	2	0	100	93	87	1022	1017	1012	10	9	4	21	10	-	0.00	Rain
15	5	3	1	4	2	0	100	96	87	1022	1021	1020	10	5	1	14	11	-	0.00	Fog , Rain
16	6	4	4	5	4	3	100	94	87	1022	1021	1020	10	6	0	14	6	-	0.00	Fog , Rain
17	5	4	3	5	4	3	100	99	93	1019	1011	1007	7	2	0	6	5	-	0.00	Fog
18	10	7	4	9	6	3	100	98	71	1007	999	991	10	3	0	29	8	50	0.00	Fog
19	5	2	-1	3	0	-2	93	81	70	1000	997	992	10	10	10	40	27	61	0.00	Rain
20	4	1	-1	4	1	-1	100	95	87	993	991	989	9	6	3	18	10	-	0.00	Rain
21	5	2	0	2	-1	-3	93	79	61	1006	998	990	10	10	10	32	21	55	0.00	Rain
22	2	-1	-4	-1	-3	-5	93	84	70	1016	1011	1006	10	10	10	26	16	-	0.00	 
23	0	-2	-5	-2	-3	-6	100	92	80	1015	1012	1009	9	5	3	14	10	-	0.00	 
24	2	-1	-3	-1	-3	-5	87	85	75	1020	1016	1010	10	10	7	26	16	-	0.00	Snow
25	2	-2	-5	-4	-5	-7	93	79	52	1020	1009	999	10	10	10	21	11	-	0.00	Snow
26	1	-1	-2	0	-2	-5	100	88	75	1005	1002	998	10	8	3	11	6	-	0.00	Rain , Snow
27	2	0	-1	1	0	-1	100	96	87	1006	1005	1003	10	5	1	14	5	-	0.00	Rain , Snow
28	0	-1	-3	-1	-2	-4	100	95	86	1012	1007	1003	10	6	1	14	6	-	0.00	Fog , Snow
29	1	-2	-4	-2	-4	-5	93	83	75	1013	1008	995	10	10	4	29	16	47	0.00	Snow
30	2	0	-2	0	-2	-56	100	90	75	1004	998	994	10	9	3	26	16	-	0.00	Snow
1996	Temp. (°C)	Dew Point (°C)	Humidity (%)	Sea Level Press. (hPa)	Visibility (km)	Wind (km/h)	Precip. (mm)	Events
Dec	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	low	high	avg	high	sum	 
1	3	1	-1	1	-1	-4	100	90	75	1017	1012	1004	10	9	4	21	11	-	0.00	Snow
2	3	1	-1	1	-1	-3	93	88	80	1013	1008	1004	10	10	5	29	18	43	0.00	Rain , Snow
3	4	1	-1	1	-1	-3	100	87	75	1015	1013	1011	10	10	8	21	18	-	0.00	Rain , Snow
4	5	1	-3	-1	-3	-4	100	81	61	1017	1013	1010	8	8	7	18	11	-	0.00	 
5	0	-1	-2	-1	-2	-3	100	92	87	1018	1017	1016	9	5	2	14	8	-	0.00	 
6	-1	-2	-2	-2	-3	-3	100	94	93	1023	1021	1018	8	6	3	6	6	-	0.00	 
7	-1	-2	-2	-3	-3	-4	93	90	86	1028	1025	1023	10	9	6	11	6	-	0.00	Snow
8	-1	-2	-2	-2	-3	-3	93	88	86	1029	1028	1028	10	10	10	14	10	-	0.00	Snow
9	0	-1	-1	-2	-2	-3	93	87	80	1028	1024	1022	10	10	10	18	14	-	0.00	 
10	2	1	0	-1	-2	-2	93	87	81	1022	1019	1018	10	10	10	18	13	-	0.00	 
11	0	-1	-1	-1	-1	-2	100	91	87	1018	1017	1017	10	9	3	14	11	-	0.00	 
12	0	-1	-1	-1	-1	-2	100	93	87	1017	1014	1011	10	8	3	11	10	-	0.00	 
13	1	-1	-2	0	-1	-2	100	95	87	1010	1004	999	7	3	0	14	8	-	0.00	Fog , Rain , Snow
14	0	-3	-6	0	-3	-7	100	93	86	1009	1003	999	10	6	0	21	11	-	0.00	Fog , Snow
15	2	-3	-7	0	-3	-7	100	86	75	1013	1008	1006	10	10	10	43	24	58	0.00	 
16	4	1	-2	2	-1	-4	100	91	75	1019	1017	1013	10	8	1	29	16	-	0.00	Fog , Rain
17	2	0	-2	1	-1	-2	100	92	81	1017	1014	1013	10	7	2	18	8	-	0.00	Rain , Snow
18	4	2	1	4	2	1	100	97	87	1013	1009	1005	10	6	1	18	8	-	0.00	Rain , Snow
19	6	2	-1	5	3	-1	100	95	87	1005	1004	1003	10	6	1	26	14	-	0.00	Fog , Rain , Snow
20	-1	-3	-5	-1	-3	-7	100	97	86	1010	1006	1003	10	3	1	26	19	-	0.00	Fog , Rain , Snow
21	-5	-10	-15	-7	-12	-17	92	83	73	1020	1016	1011	10	9	7	18	8	-	0.00	Fog
22	-12	-14	-17	-14	-17	-19	85	82	78	1021	1019	1016	8	1	0	6	2	-	0.00	Fog
23	-7	-12	-18	-9	-14	-20	86	80	74	1016	1008	1004	7	3	0	21	6	-	0.00	Fog , Snow
24	-8	-12	-16	-10	-13	-18	93	86	78	1011	1009	1006	9	5	0	18	8	-	0.00	Fog
25	-9	-13	-18	-11	-14	-20	92	86	78	1025	1015	1010	10	4	0	18	6	-	0.00	Fog , Snow
26	-10	-13	-17	-13	-16	-20	92	82	78	1040	1035	1026	10	10	8	18	11	-	0.00	Fog
27	-13	-17	-20	-15	-19	-22	92	85	78	1040	1034	1027	7	3	0	6	5	-	0.00	Fog
28	-16	-19	-23	-18	-22	-26	85	84	77	1027	1024	1021	8	3	0	6	3	-	0.00	Fog
29	-13	-18	-22	-17	-20	-25	85	80	72	1021	1015	1008	8	6	2	14	6	-	0.00	 
30	-14	-17	-19	-17	-18	-20	92	84	78	1010	1007	1006	8	3	1	11	6	-	0.00	 
31	-14	-17	-20	-16	-18	-22	92	86	85	1020	1015	1010	3	2	1	11	3	-	0.00	Fog , Snow
